air_pollution_class,concatenate_pollutant_aggregation,country_fake,download_raw_data,google_map,sampling_point,air_pollutant_group,air_quality_station_area,air_quality_station_type,aq_station_name,city,country_colour,country,data_aggregation_label,download_raw_data_1,google_map_1,sampling_point_1,unit_of_airpollution_level,uom_corrected,year_of_statistics,latitude,longitude,geometry_generated,air_pollution_level,threshold_1,threshold_3,year,region
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW081&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/49.028599999999997+8.3556000000000008,SPO.DE_DEBW081_PM2_dataGroup2,PM2.5,Urban,Background,Karlsruhe-Nordwest,Karlsruhe,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/49.028599999999997+8.3556000000000008,SPO.DE_DEBW081_PM2_dataGroup2,ug/m3,ug/m3,2020,49.0286,8.3556,NA,8.388,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW084&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.0015+7.8320999999999996,SPO.DE_DEBW084_PM2_dataGroup2,PM2.5,Urban,Background,Freiburg,Freiburg im Breisgau,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.0015+7.8320999999999996,SPO.DE_DEBW084_PM2_dataGroup2,ug/m3,ug/m3,2020,48.0015,7.8321,NA,7.217,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW087&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.345799999999997+9.2075999999999993,SPO.DE_DEBW087_PM2_dataGroup2,PM2.5,Rural,Background,Schwäbische Alb,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.345799999999997+9.2075999999999993,SPO.DE_DEBW087_PM2_dataGroup2,ug/m3,ug/m3,2020,48.3458,9.2076,NA,5.457,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW107&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.5077+9.0511999999999997,SPO.DE_DEBW107_PM2_dataGroup2,PM2.5,Suburban,Background,Tübingen,Tübingen,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.5077+9.0511999999999997,SPO.DE_DEBW107_PM2_dataGroup2,ug/m3,ug/m3,2020,48.5077,9.0512,NA,8.972,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW122&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/47.988199999999999+7.8598999999999997,SPO.DE_DEBW122_PM2_dataGroup2,PM2.5,Urban,Traffic,Freiburg Schwarzwaldstraße,Freiburg im Breisgau,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/47.988199999999999+7.8598999999999997,SPO.DE_DEBW122_PM2_dataGroup2,ug/m3,ug/m3,2020,47.9882,7.8599,NA,8.08,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW147&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.4893+9.2108000000000008,SPO.DE_DEBW147_PM2_dataGroup2,PM2.5,Urban,Traffic,Reutlingen Lederstraße-Ost,Reutlingen,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.4893+9.2108000000000008,SPO.DE_DEBW147_PM2_dataGroup2,ug/m3,ug/m3,2020,48.4893,9.2108,NA,9.913,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW152&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/49.146000000000001+9.2258999999999993,SPO.DE_DEBW152_PM2_dataGroup2,PM2.5,Urban,Traffic,Heilbronn Weinsberger Straße-Ost,Heilbronn,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/49.146000000000001+9.2258999999999993,SPO.DE_DEBW152_PM2_dataGroup2,ug/m3,ug/m3,2020,49.146,9.2259,NA,9.828,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW156&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.229100000000003+8.3905999999999992,SPO.DE_DEBW156_PM2_dataGroup2,PM2.5,Urban,Traffic,Schramberg Oberndorfer Straße,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.229100000000003+8.3905999999999992,SPO.DE_DEBW156_PM2_dataGroup2,ug/m3,ug/m3,2020,48.2291,8.3906,NA,8.305,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBY004&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/49.869399999999999+9.1715,SPO.DE_DEBY004_PM2_dataGroup1,PM2.5,Suburban,Background,Kleinwallstadt/Hofstetter Straße,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/49.869399999999999+9.1715,SPO.DE_DEBY004_PM2_dataGroup1,ug/m3,ug/m3,2020,49.8694,9.1715,NA,9.295,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBY007&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.376600000000003+10.888400000000001,SPO.DE_DEBY007_PM2_dataGroup1,PM2.5,Urban,Background,Augsburg/Bourges-Platz,Augsburg,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.376600000000003+10.888400000000001,SPO.DE_DEBY007_PM2_dataGroup1,ug/m3,ug/m3,2020,48.3766,10.8884,NA,9.686,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBY013&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.1828+12.7814,SPO.DE_DEBY013_PM2_dataGroup1,PM2.5,Rural,Background,Mehring/Sportplatz,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.1828+12.7814,SPO.DE_DEBY013_PM2_dataGroup1,ug/m3,ug/m3,2020,48.1828,12.7814,NA,9.62,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBY028&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/48.909500000000001+11.879200000000001,SPO.DE_DEBY028_PM2_dataGroup1,PM2.5,Urban,Traffic,Kelheim/Regensburger Straße,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/48.909500000000001+11.879200000000001,SPO.DE_DEBY028_PM2_dataGroup1,ug/m3,ug/m3,2020,48.9095,11.8792,NA,9.45,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBY031&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/47.725099999999998+10.3066,SPO.DE_DEBY031_PM2_dataGroup1,PM2.5,Suburban,Background,Kempten (Allgäu)/Westendstraße,Kempten (Allgäu),NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/47.725099999999998+10.3066,SPO.DE_DEBY031_PM2_dataGroup1,ug/m3,ug/m3,2020,47.7251,10.3066,NA,8.564,NA,NA,2020,West
2,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=6001&Year_from=2020&Year_to=2020&Station=STA.DE_DEBY035&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/47.557499999999997+9.6889000000000003,SPO.DE_DEBY035_PM2_dataGroup1,PM2.5,Urban,Traffic,Lindau (Bodensee)/Friedrichshafener Straße,NA,NA,Germany,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/47.557499999999997+9.6889000000000003,SPO.DE_DEBY035_PM2_dataGroup1,ug/m3,ug/m3,2020,47.5575,9.6889,NA,9.659,NA,NA,2020,West
