"Air.Pollution.Class","Concatenate.pollutant.aggregation","Country.Fake","DownloadRawData","GoogleMap","Sampling.Point","Air.Pollutant.Group","Air.Quality.Station.Area","Air.Quality.Station.Type","AQ.Station.Name","City","Country.Colour","Country","Data.Aggregation.Label","DownloadRawData.1","GoogleMap.1","Sampling.Point.1","Unit.Of.Airpollution.Level","UOM.corrected","Year.Of.Statistics","Latitude","Longitude","Geometry..generated.","Air.Pollution.Level","Threshold.1","Threshold.3","Year","Region"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0539A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/52.115699999999997+21.237300000000001","SPO_PL0539A_6001_001","PM2.5","Suburban","Background","Otwock, ul. Brzozowa","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/52.115699999999997+21.237300000000001","SPO_PL0539A_6001_001","ug/m3","ug/m3",2018,52.1157,21.2373,"",26.644,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0542A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/53.491799999999998+18.752500000000001","SPO_PL0542A_6001_001","PM2.5","Urban","Background","Grudziądz, ul. Sienkiewicza","Grudziadz",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/53.491799999999998+18.752500000000001","SPO_PL0542A_6001_001","ug/m3","ug/m3",2018,53.4918,18.7525,"",25.472,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0543A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/51.775399999999998+19.451000000000001","SPO_PL0543A_6001_001","PM2.5","Urban","Background","Łódź, ul. Gdańska","Lódz",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/51.775399999999998+19.451000000000001","SPO_PL0543A_6001_001","ug/m3","ug/m3",2018,51.7754,19.451,"",25.811,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0549A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/49.969000000000001+20.439499999999999","SPO_PL0549A_6001_001","PM2.5","Urban","Background","Bochnia, ul. Konfederatów Barskich","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/49.969000000000001+20.439499999999999","SPO_PL0549A_6001_001","ug/m3","ug/m3",2018,49.969,20.4395,"",28.834,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0550A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/49.619300000000003+20.714400000000001","SPO_PL0550A_6001_001","PM2.5","Urban","Background","Nowy Sącz, ul. Nadbrzeżna","Nowy Sacz",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/49.619300000000003+20.714400000000001","SPO_PL0550A_6001_001","ug/m3","ug/m3",2018,49.6193,20.7144,"",32.539,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0567A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.2468+19.019500000000001","SPO_PL0567A_6001_001","PM2.5","Urban","Traffic","Katowice, ul. Plebiscytowa/A4","Katowice",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.2468+19.019500000000001","SPO_PL0567A_6001_001","ug/m3","ug/m3",2018,50.2468,19.0195,"",35.279,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0624A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/51.884900000000002+17.7911","SPO_PL0624A_6001_001","PM2.5","Urban","Background","Pleszew, Al. Mickiewicza","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/51.884900000000002+17.7911","SPO_PL0624A_6001_001","ug/m3","ug/m3",2018,51.8849,17.7911,"",27.724,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0647A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.018300000000004+20.992599999999999","SPO_PL0647A_6001_001","PM2.5","Urban","Traffic","Tarnów, ul. Ks. Romana Sitko","Tarnów",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.018300000000004+20.992599999999999","SPO_PL0647A_6001_001","ug/m3","ug/m3",2018,50.0183,20.9926,"",25.146,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0677A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.299100000000003+21.440899999999999","SPO_PL0677A_6001_001","PM2.5","Urban","Background","Mielec, ul. Biernackiego","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.299100000000003+21.440899999999999","SPO_PL0677A_6001_001","ug/m3","ug/m3",2018,50.2991,21.4409,"",25.271,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0684A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.029400000000003+18.689499999999999","SPO_PL0684A_6001_001","PM2.5","Urban","Background","Żory, Os. Gen. Władysława Sikorskiego","Zory",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.029400000000003+18.689499999999999","SPO_PL0684A_6001_001","ug/m3","ug/m3",2018,50.0294,18.6895,"",30.818,NA,"",2018,"East"
