"","country","year_of_statistics","Premature_deaths","region","average_pm25"
"469","Finland",2015,"229",NA,NA
"470","Finland",2016,"228",NA,NA
"471","Finland",2017,"98",NA,NA
"472","Finland",2018,"455",NA,NA
"473","Finland",2019,"171",NA,NA
"474","Finland",2020,"63",NA,NA
"475","Finland",2021,"162",NA,NA
"476","Finland",2022,"68",NA,NA
"477","Sweden",2005,"3442",NA,NA
"478","Sweden",2007,"3093",NA,NA
"479","Sweden",2008,"2570",NA,NA
"480","Sweden",2009,"1660",NA,NA
"481","Sweden",2010,"2084",NA,NA
"482","Sweden",2011,"2668",NA,NA
"483","Sweden",2012,"1597",NA,NA
"484","Sweden",2013,"785",NA,NA
"485","Sweden",2014,"1644",NA,NA
"486","Sweden",2015,"799",NA,NA
"487","Sweden",2016,"737",NA,NA
"488","Sweden",2017,"412",NA,NA
"489","Sweden",2018,"902",NA,NA
"490","Sweden",2019,"532",NA,NA
"491","Sweden",2020,"370",NA,NA
"492","Sweden",2021,"604",NA,NA
"493","Sweden",2022,"476",NA,NA
"494","Iceland",2005,"31",NA,NA
"495","Iceland",2007,"26",NA,NA
"496","Iceland",2008,"48",NA,NA
"497","Iceland",2009,"18",NA,NA
"498","Iceland",2010,"36",NA,NA
"499","Iceland",2011,"4",NA,NA
"500","Iceland",2012,"0",NA,NA
"501","Iceland",2013,"24",NA,NA
"502","Iceland",2014,"25",NA,NA
"503","Iceland",2015,"21",NA,NA
"504","Iceland",2016,"11",NA,NA
"505","Iceland",2017,"14",NA,NA
"506","Iceland",2018,"7",NA,NA
"507","Iceland",2019,"2",NA,NA
"508","Iceland",2020,"0",NA,NA
"509","Iceland",2021,"1",NA,NA
"510","Iceland",2022,"0",NA,NA
"511","Liechtenstein",2005,"27",NA,NA
"512","Liechtenstein",2007,"20",NA,NA
"513","Liechtenstein",2008,"22",NA,NA
"514","Liechtenstein",2009,"18",NA,NA
"515","Liechtenstein",2010,"23",NA,NA
"516","Liechtenstein",2011,"20",NA,NA
"517","Liechtenstein",2012,"10",NA,NA
"518","Liechtenstein",2013,"13",NA,NA
"519","Liechtenstein",2014,"8",NA,NA
"520","Liechtenstein",2015,"12",NA,NA
"521","Liechtenstein",2016,"10",NA,NA
"522","Liechtenstein",2017,"9",NA,NA
"523","Liechtenstein",2018,"8",NA,NA
"524","Liechtenstein",2019,"6",NA,NA
"525","Liechtenstein",2020,"7",NA,NA
"526","Liechtenstein",2021,"7",NA,NA
"527","Liechtenstein",2022,"7",NA,NA
"528","Norway",2005,"1324",NA,NA
"529","Norway",2007,"1187",NA,NA
"530","Norway",2008,"1005",NA,NA
"531","Norway",2009,"833",NA,NA
"532","Norway",2010,"1292",NA,NA
"533","Norway",2011,"1283",NA,NA
"534","Norway",2012,"868",NA,NA
"535","Norway",2013,"768",NA,NA
"536","Norway",2014,"695",NA,NA
"537","Norway",2015,"427",NA,NA
"538","Norway",2016,"450",NA,NA
"539","Norway",2017,"296",NA,NA
"540","Norway",2018,"555",NA,NA
"541","Norway",2019,"319",NA,NA
"542","Norway",2020,"157",NA,NA
"543","Norway",2021,"406",NA,NA
"544","Norway",2022,"347",NA,NA
"545","Switzerland",2005,"4698",NA,NA
"546","Switzerland",2007,"3773",NA,NA
"547","Switzerland",2008,"4187",NA,NA
"548","Switzerland",2009,"4122",NA,NA
"549","Switzerland",2010,"4579",NA,NA
"550","Switzerland",2011,"4203",NA,NA
"551","Switzerland",2012,"3412",NA,NA
"552","Switzerland",2013,"3979",NA,NA
"553","Switzerland",2014,"2929",NA,NA
"554","Switzerland",2015,"3306",NA,NA
"555","Switzerland",2016,"2356",NA,NA
"556","Switzerland",2017,"2312",NA,NA
"557","Switzerland",2018,"2260",NA,NA
"558","Switzerland",2019,"1792",NA,NA
"559","Switzerland",2020,"1722",NA,NA
"560","Switzerland",2021,"1684",NA,NA
"561","Switzerland",2022,"1902",NA,NA
"562","United Kingdom",2005,":",NA,NA
"563","United Kingdom",2007,":",NA,NA
"564","United Kingdom",2008,":",NA,NA
"565","United Kingdom",2009,":",NA,NA
"566","United Kingdom",2010,":",NA,NA
"567","United Kingdom",2011,":",NA,NA
"568","United Kingdom",2012,":",NA,NA
"569","United Kingdom",2013,":",NA,NA
"570","United Kingdom",2014,":",NA,NA
"571","United Kingdom",2015,":",NA,NA
"572","United Kingdom",2016,":",NA,NA
"573","United Kingdom",2017,":",NA,NA
"574","United Kingdom",2018,":",NA,NA
"575","United Kingdom",2019,":",NA,NA
"576","United Kingdom",2020,":",NA,NA
"577","United Kingdom",2021,":",NA,NA
"578","United Kingdom",2022,":",NA,NA
"579","Bosnia and Herzegovina",2005,"7699",NA,NA
"580","Bosnia and Herzegovina",2007,"6313",NA,NA
"581","Bosnia and Herzegovina",2008,"5910",NA,NA
"582","Bosnia and Herzegovina",2009,"7000",NA,NA
"583","Bosnia and Herzegovina",2010,"6772",NA,NA
"584","Bosnia and Herzegovina",2011,"7314",NA,NA
"585","Bosnia and Herzegovina",2012,"5338",NA,NA
"586","Bosnia and Herzegovina",2013,"4165",NA,NA
"587","Bosnia and Herzegovina",2014,"3957",NA,NA
"588","Bosnia and Herzegovina",2015,"5351",NA,NA
"589","Bosnia and Herzegovina",2016,"7477",NA,NA
"590","Bosnia and Herzegovina",2017,"6219",NA,NA
"591","Bosnia and Herzegovina",2018,"7313",NA,NA
"592","Bosnia and Herzegovina",2019,"5797",NA,NA
"593","Bosnia and Herzegovina",2020,"9159",NA,NA
"594","Bosnia and Herzegovina",2021,"8986",NA,NA
"595","Bosnia and Herzegovina",2022,"6212",NA,NA
"596","Montenegro",2005,"1031",NA,NA
"597","Montenegro",2007,"1018",NA,NA
"598","Montenegro",2008,"929",NA,NA
"599","Montenegro",2009,"965",NA,NA
"600","Montenegro",2010,"1265",NA,NA
"601","Montenegro",2011,"1254",NA,NA
"602","Montenegro",2012,"898",NA,NA
"603","Montenegro",2013,"737",NA,NA
"604","Montenegro",2014,"666",NA,NA
"605","Montenegro",2015,"879",NA,NA
"606","Montenegro",2016,"962",NA,NA
"607","Montenegro",2017,"875",NA,NA
"608","Montenegro",2018,"975",NA,NA
"609","Montenegro",2019,"856",NA,NA
"610","Montenegro",2020,"920",NA,NA
"611","Montenegro",2021,"1079",NA,NA
"612","Montenegro",2022,"712",NA,NA
"613","North Macedonia",2005,"6303",NA,NA
"614","North Macedonia",2007,"4173",NA,NA
"615","North Macedonia",2008,"4236",NA,NA
"616","North Macedonia",2009,"5315",NA,NA
"617","North Macedonia",2010,"4973",NA,NA
"618","North Macedonia",2011,"5676",NA,NA
"619","North Macedonia",2012,"5269",NA,NA
"620","North Macedonia",2013,"4892",NA,NA
"621","North Macedonia",2014,"4442",NA,NA
"622","North Macedonia",2015,"4856",NA,NA
"623","North Macedonia",2016,"6048",NA,NA
"624","North Macedonia",2017,"6174",NA,NA
"625","North Macedonia",2018,"5124",NA,NA
"626","North Macedonia",2019,"3278",NA,NA
"627","North Macedonia",2020,"3758",NA,NA
"628","North Macedonia",2021,"4980",NA,NA
"629","North Macedonia",2022,"3636",NA,NA
"630","Albania",2005,"6513",NA,NA
"631","Albania",2007,"4900",NA,NA
"632","Albania",2008,"4372",NA,NA
"633","Albania",2009,"5197",NA,NA
"634","Albania",2010,"6244",NA,NA
