"Air.Pollution.Class","Concatenate.pollutant.aggregation","Country.Fake","DownloadRawData","GoogleMap","Sampling.Point","Air.Pollutant.Group","Air.Quality.Station.Area","Air.Quality.Station.Type","AQ.Station.Name","City","Country.Colour","Country","Data.Aggregation.Label","DownloadRawData.1","GoogleMap.1","Sampling.Point.1","Unit.Of.Airpollution.Level","UOM.corrected","Year.Of.Statistics","Latitude","Longitude","Geometry..generated.","Air.Pollution.Level","Threshold.1","Threshold.3","Year"
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0591A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/51.642699999999998+15.127800000000001","SPO_PL0591A_6001_002","PM2.5","Urban","Background","Żary, ul. Szymanowskiego","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/51.642699999999998+15.127800000000001","SPO_PL0591A_6001_002","ug/m3","ug/m3",2021,51.6427,15.1278,"",14.367,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0594A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/49.784300000000002+22.7562","SPO_PL0594A_6001_001","PM2.5","Urban","Background","Przemyśl, ul. Grunwaldzka","Przemysl",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/49.784300000000002+22.7562","SPO_PL0594A_6001_001","ug/m3","ug/m3",2021,49.7843,22.7562,"",19.555,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0649A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/52.943199999999997+21.2882","SPO_PL0649A_6001_001","PM2.5","Rural","Background","Guty Duże","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/52.943199999999997+21.2882","SPO_PL0649A_6001_001","ug/m3","ug/m3",2021,52.9432,21.2882,"",13.063,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0653A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.894399999999997+20.658000000000001","SPO_PL0653A_6001_001","PM2.5","Urban","Background","Kielce, ul. Warszawska 210","Kielce",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.894399999999997+20.658000000000001","SPO_PL0653A_6001_001","ug/m3","ug/m3",2021,50.8944,20.658,"",18.628,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0673A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/52.080599999999997+21.1112","SPO_PL0673A_6001_001","PM2.5","Suburban","Background","Konstancin-Jeziorna, ul. Wierzejewskiego","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/52.080599999999997+21.1112","SPO_PL0673A_6001_001","ug/m3","ug/m3",2021,52.0806,21.1112,"",16.985,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0674A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.666699999999999+17.899100000000001","SPO_PL0674A_6001_001","PM2.5","Urban","Background","Opole, ul. Koszyka","Opole",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.666699999999999+17.899100000000001","SPO_PL0674A_6001_001","ug/m3","ug/m3",2021,50.6667,17.8991,"",16.356,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0678A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/49.546500000000002+21.850999999999999","SPO_PL0678A_6001_001","PM2.5","Suburban","Background","Rymanów Zdrój, ul. Parkowa","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/49.546500000000002+21.850999999999999","SPO_PL0678A_6001_001","ug/m3","ug/m3",2021,49.5465,21.851,"",10.435,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0681A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/53.828400000000002+22.348299999999998","SPO_PL0681A_6001_001","PM2.5","Urban","Background","Ełk, ul. Piłsudskiego","Elk",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/53.828400000000002+22.348299999999998","SPO_PL0681A_6001_001","ug/m3","ug/m3",2021,53.8284,22.3483,"",10.432,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0682A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/53.694600000000001+19.969000000000001","SPO_PL0682A_6001_001","PM2.5","Urban","Background","Ostróda, ul. Piłsudskiego","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/53.694600000000001+19.969000000000001","SPO_PL0682A_6001_001","ug/m3","ug/m3",2021,53.6946,19.969,"",16.711,NA,"",2021
3,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA_PL0706A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/54.115900000000003+22.938500000000001","SPO_PL0706A_6001_001","PM2.5","Urban","Background","Suwałki, ul. Pułaskiego 26","Suwalki",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/54.115900000000003+22.938500000000001","SPO_PL0706A_6001_001","ug/m3","ug/m3",2021,54.1159,22.9385,"",14.05,NA,"",2021
